DATE;SP500;NASDAQ,AAPL;NASDAQ,AMZN;NASDAQ,GOOGL
1491237420;2352,0901;143,61;888,77;850,8352
1491237480;2352,04;143,62;888,71;850,8352
1491237540;2352,22;143,58;888,73;850,78
1491237600;2351,8501;143,57;889,02;850,28
1491237660;2352,3999;143,5246;888,91;850,68
1491237720;2352,73;143,54;889,07;850,5306
1491237780;2352,9299;143,5589;888,946;850,85
1491237840;2352,96;143,569;888,75;851,09
1491237900;2352,1001;143,56;889,02;850,88
1491237960;2351,73;143,51;888,6818;850,49
1491238020;2352;143,4657;888,2535;850,43
1491238080;2351,76;143,52;888,52;850,58
1491238140;2352,45;143,4835;888,72;850,694
1491238200;2351,75;143,5;889,47;850,86
1491238260;2351,8799;143,49;888,81;850,73
1491238320;2351,6101;143,496;889,25;850,73
1491238380;2351,5;143,45;888,74;851
1491238440;2352,0901;143,4643;888,9085;850,738
1491238500;2352,1201;143,5;889,2704;851,0949
1491238560;2352,74;143,5;889,3522;851,195
1491238620;2352,47;143,5501;889,72;851,44
1491238680;2352,54;143,5458;889,63;851,12
1491238740;2353,49;143,52;889,85;851,26
1491238800;2352,8201;143,58;890,27;851,61
1491238860;2353,3501;143,51;889,794;851,42
1491238920;2354,02;143,535;889,57;851,55
1491238980;2353,5701;143,57;890,3;851,88
1491239040;2353,8999;143,55;889,94;852,1247
1491239100;2353,98;143,59;889,665;852,32
1491239160;2354,01;143,58;889,9;852,24
1491239220;2353,4299;143,58;889,65;852,52
1491239280;2353,1101;143,54;889,48;852,07
1491239340;2352,8899;143,55;889,19;852,145
1491239400;2353,4099;143,58;889,24;852,02
1491239460;2353,47;143,62;889,29;852,47
1491239520;2354,0601;143,62;889,22;852,41
1491239580;2354,4199;143,6533;889,67;852,73
1491239640;2354,3401;143,655;889,6;853,01
1491239700;2354,3501;143,66;889,74;853,105
1491239760;2354,4399;143,64;890,015;853,22
1491239820;2354,6001;143,68;889,8364;853,25
1491239880;2354,0601;143,69;889,7152;853,08
1491239940;2354,05;143,65;889,36;853,28
1491240000;2353,51;143,68;889,25;853,12
1491240060;2353,72;143,6454;888,92;852,73
1491240120;2353,76;143,65;889,001;852,9136
1491240180;2352,71;143,6;888,95;852,6
